problem_id,trajectory_position,row_in_problem,score,delta_J,y,mask,pos,probe_type
278,41,3,0.3987244576601513,7.173183917999268,0,0.8571428571428571,0.125,struct
156,42,0,0.43111871335387747,68.25486591644585,0,0.875,0.0,struct
156,42,1,0.3897961220050359,6.896912097930908,0,0.8571428571428571,0.125,struct
156,42,2,0.21208051668761949,1.7365399599075315,0,0.5,0.5,struct
156,42,4,0.15348840349492063,1.2436106999715155,0,0.2857142857142857,0.5625,struct
156,42,5,0.39104757372636856,7.807392120361328,0,0.875,0.0,struct
156,42,6,0.35742705940450625,5.311552047729492,0,0.7142857142857143,0.0,struct
383,43,0,0.3173991018380029,4.358357429504398,0,0.5,0.0,struct
383,43,1,0.2925175894076255,-1.790110702440142,1,0.4,0.0,struct
383,43,2,0.21424356152593693,13.037887573242188,0,0.8,0.375,struct
383,43,3,0.21057450343297432,1.9291794640677316,0,0.5,0.25,struct
383,43,4,0.3161451756587127,14.62665557861328,0,0.5,0.0,struct
407,44,0,0.2155017130884331,3.266511917114258,0,0.4,0.375,struct
407,44,1,0.22736543093546507,1.67139995098114,0,0.75,0.5,struct
488,45,0,0.40423218245847536,-2.6437279752322613,1,0.7142857142857143,0.0,struct
488,45,1,0.3359469939743125,25.62686431904634,0,0.8333333333333334,0.25,struct
316,46,0,0.25077788551581726,1.639631986618042,0,0.2857142857142857,0.125,struct
316,46,1,0.3786512254162524,56.8399210870266,0,0.5,0.0,floor
316,46,2,0.31703289060516504,3.3878159523010254,0,0.25,0.0,floor
316,46,3,0.40395459629761016,13.596991539001465,0,0.6666666666666666,0.0,struct
392,47,0,0.20898250836448817,4.5442988077799455,0,0.4,0.375,struct
392,47,1,0.3705936984745979,4.659392038981117,0,0.8333333333333334,0.0,struct
392,47,2,0.1045988608953599,6.878335952758789,0,0.5,0.75,floor
392,47,3,0.33356364839751346,2.7596992492675767,0,0.8333333333333334,0.25,struct
392,47,4,0.29574428048927315,7.176015853881836,0,0.2857142857142857,0.125,struct
392,47,6,0.25664627095355164,15.640512466430664,0,1.0,0.75,struct
392,47,7,0.18862628833757306,3.940608024597168,0,0.6666666666666666,0.625,struct
392,47,8,0.267694944264918,3.0006912231445284,0,0.4,0.375,struct
392,47,9,0.26851463649549173,7.573247909545898,0,0.6,0.375,struct
392,47,10,0.4962133676732526,7.75977611541748,0,0.875,0.0,struct
392,47,11,0.39907123290574315,15.393728256225586,0,0.5,0.0,struct
392,47,12,0.11099705526762342,1.5611904144287116,0,0.4,0.6875,struct
297,48,0,0.21508263884131207,2.178352038065592,0,0.5,0.25,struct
297,48,1,0.2546154967685499,1.870258331298828,0,0.5714285714285714,0.125,struct
297,48,2,0.26861032451916844,6.584959983825684,0,0.5,0.0,struct
297,48,3,0.28417327418407,2.249813397725422,0,0.375,0.0,struct
297,48,4,0.1757867316648289,6.88267183303833,0,0.75,0.5,struct
297,48,5,0.15682580125187492,6.926271915435791,0,0.75,0.5,struct
297,48,6,0.19129957851552382,13.99459171295166,0,0.6,0.375,struct
297,48,7,0.2687248347666335,-8.293027647903987,1,0.2857142857142857,0.0,struct
251,49,0,0.17931798118300987,2.189738591512043,0,0.3333333333333333,0.25,struct
251,49,1,0.26317831045869683,13.208352088928224,0,0.5,0.0,struct
251,49,2,0.28389622571564693,6.58081579208374,0,0.8571428571428571,0.0,struct
251,49,3,0.13114675350550156,13.352288246154783,0,0.5,0.5,struct
251,49,4,0.2885650651192329,13.787487983703612,0,0.875,0.0,struct
251,49,5,0.11070581110822533,13.56009578704834,0,0.6666666666666666,0.625,struct
251,49,6,0.2628068959321251,6.856815814971924,0,0.8571428571428571,0.125,struct
251,49,7,0.15616446963758632,-3.833647578023374,1,0.8,0.375,struct
251,49,8,0.23172544193112016,7.02129602432251,0,0.25,0.0,struct
251,49,9,0.08443654711359028,3.6063199043273926,0,0.5,0.625,struct
251,49,10,0.2465751286253508,3.6679999828338623,0,0.7142857142857143,0.125,struct
251,49,11,0.2459719821726279,14.831583976745604,0,0.375,0.0,struct
